Variable,Coefficient,Std Error,z-stat,p-value,Sig.
Intercept,7.5333,0.4186,17.995,0.0,***
post,0.0288,0.0215,1.34,0.1802,
hamburg,-0.4525,0.0196,-23.111,0.0,***
post_hamburg,-0.057,0.0244,-2.335,0.0195,**
covid,0.007,0.0153,0.455,0.6491,
wto,0.0065,0.0048,1.358,0.1743,
brent,-0.0003,0.001,-0.25,0.8027,
